Disease,OrphaCode,Query,Count
Partial chromosome Y deletion,1646,%28%28deletion*%5Btw%5D+OR+microdeletion*%5Btw%5D%29+Y+chromosome%5BTi%5D%29+OR+%28chromosome+deletion%5BMH%5D+y+chromosome%5BMH%5D%29,1396
Primary CD59 deficiency,169464,,0
Beckwith-Wiedemann syndrome,116,beckwith+wiedemann+syndrome%5Bmh%5D+OR+Beckwith+Wiedemann+syndrome%5Btw%5D,1651
Apert syndrome,87,(apert%5Bti%5D+OR+apert+s%5Bti%5D)+OR+((apert+synd*%5Btw%5D+OR+apert+s%5Btw%5D)+Acrocephalosyndactylia),891
Secondary central precocious puberty,169618,,0
Idiopathic central precocious puberty,169615,,0
Familial paroxysmal ataxia,97,familial%5Btw%5D+AND+%28periodic%5Btw%5D+OR+episodic%5Btw%5D+OR+paroxysmal%5Btw%5D%29+AND+cerebellar+ataxia%5Bmh:noexp%5D,54
Recurrent Neisseria infections due to factor D deficiency,169467,,0
Lamellar ichthyosis,313,ichthyosiform+erythroderma%2C+congenital[mh]+OR+Congenital+ichthyosiform+erythr*[Ti]+OR+lamellar+ichthyo*[ti]+OR+epidermolytic+hyperkerat*[ti],1909
Mild hemophilia B,169799,,0
Moderately severe hemophilia B,169796,,0
Severe hemophilia B,169793,,0
Rectal duplication,171220,,0
Ocular albinism with late-onset sensorineural deafness,1000,,0
Ermine phenotype,999,Pigmentation+Disorders/genetics+AND+Hearing+Loss%2C+Sensorineural/genetics,39
Severe congenital nemaline myopathy,171430,,0
Intermediate nemaline myopathy,171433,,0
Typical nemaline myopathy,171436,,0
Childhood-onset nemaline myopathy,171439,,0
Adult-onset nemaline myopathy,171442,,0
Muscle filaminopathy,171445,,0
X-linked spastic paraplegia type 34,171607,,0
Bruck syndrome,2771,bruck+synd*%5Btw%5D+OR+osteogenesis+imperfecta%5Bti%5D+%28joint*%5BTI%5D+contracture*%5Bti%5D+OR+contracture%5Bmh%5D%29,17
Autosomal dominant spastic paraplegia type 37,171612,,0
Autosomal dominant spastic paraplegia type 38,171617,,0
Mitochondrial DNA-related cardiomyopathy and hearing loss,1349,"(Mitochondrial+Myopathies+OR+cardiomyopathies)+(hearing+loss+OR+deafness)+(RNA,+Transfer,+Lys%5Bmh%5D+OR+Maternally+inherited%5Btw%5D)+NOT+diabetes",13
Autosomal recessive spastic paraplegia type 32,171622,,0
Autosomal recessive spastic paraplegia type 35,171629,,0
Treacher-Collins syndrome,861,mandibulofacial+dysostosis%5Bmh%3Anoexp%5D+OR+Mandibulofacial+Dysostos*%5Btw%5D+OR+treacher-coll*%5Btw%5D+OR+franceschetti-kl*%5Btw%5D,2006
Unverricht-Lundborg disease,308,unverricht+lundborg+syndrome+OR+epilepsy%2C+myoclonic%5Bmh%5D+%28unverricht+lundborg%5Btw%5D+OR+baltic%5Btw%5D%29,281
Cornelia de Lange syndrome,199,%28%22de+lange+syndrome%22%5BTIAB%5D+NOT+Medline%5BSB%5D%29+OR+%22de+lange+syndrome%22%5BMeSH+Terms%5D+OR+Cornelia+de+Lange+syndrome%5BText+Word%5D,1030
High isolated anorectal malformation,171201,,0
Holoprosencephaly,2162,%28holoprosencephaly%5Bmh%5D+OR+Holoprosencephaly%5Bti%5D%29+NOT+%28mice%5Bmh%5D+OR+mouse%5Btw%5D%29,1363
Idiopathic achalasia,930,esophageal+achalasia%5Bmajr%5D+OR+(esophag*%5Bti%5D+achalasia%5Bti%5D),6211
Low isolated anorectal malformation,171215,,0
Albinism-deafness syndrome,998,,0
Intermediate isolated anorectal malformation,171208,,0
22q11.2 duplication syndrome,1727,(trisomy%5Bti%5D+OR+microduplication%5Bti%5D+OR+duplication%5Bti%5D+OR+((chromosome+22)+trisomy%5Bmh%5D))+22q11*%5Bti%5D,123
Cernunnos-XLF deficiency,169079,,0
Distal trisomy 18q,1716,(Trisomy+18q%5Bti%5D+OR+duplication+18q%5Bti%5D+OR+((%22chromosome+18%22+OR+Pair+18%5Btw%5D)+18q*%5Btw%5D+trisomy))+NOT+(mosaicism+OR+monosomy+18q*%5Bti%5D),117
Trisomy 18p,1715,(Trisomy+18p%5Bti%5D+OR+duplication+18p%5Bti%5D+OR+((%22chromosome+18%22+OR+Pair+18%5Btw%5D)+18p*%5Btw%5D+trisomy))+NOT+(mosaicism+OR+monosomy+18p*%5Bti%5D),122
Trisomy 18,3380,Trisomy+18%5Bti%5D+OR+%28Chromosomes%2C+Human%2C+Pair+18%5Bmh%5D+AND+trisomy%5Bmh%5D%29,1933
CLAPO syndrome,168984,,0
Distal trisomy 15q,1707,(Trisomy+15q%5Bti%5D+OR+duplication+15q*%5Bti%5D+OR+((%22chromosome+15%22+OR+Pair+15%5Btw%5D)+%2215q%22+trisomy))+NOT+(mosaicism+OR+monosomy+15q*%5Bti%5D),92
Malignant melanoma of the mucosa,168999,,0
Trisomy 13,3378,Trisomy+13%5Bti%5D+OR+%28Chromosomes%2C+Human%2C+Pair+13%5Bmh%5D+AND+trisomy%5Bmh%5D%29,1302
Kahrizi syndrome,168972,,0
Immunoglobulin heavy chain deficiency,169110,,0
Immunodeficiency due to CD25 deficiency,169100,,0
Good syndrome,169105,,0
Combined immunodeficiency due to CRAC channel dysfunction,169090,,0
Trisomy 9p,236,(Trisomy+9p%5Bti%5D+OR+duplication+9p*%5Bti%5D+OR+((%22chromosome+9%22+OR+Pair+9%5Btw%5D)+%229p%22+trisomy))+NOT+(mosaicism+OR+monosomy+9p*%5Bti%5D),183
Severe combined immunodeficiency due to FOXN1 deficiency,169095,,0
Combined immunodeficiency due to CD3gamma deficiency,169082,,0
Susceptibility to respiratory infections associated with CD8alpha chain mutation,169085,,0
Primary peritoneal carcinoma,168829,,0
Peritoneal cystic mesothelioma,168816,,0
"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency",753,male%5Ball%5D+pseudohermaphroditism+%285+alpha+reductase%5BTw%5D+OR+testosterone+5+alpha+reductase%5Bmh%5D+OR+cholestenone+5+alpha-reductase%5Bmh%5D%29,399
Triose phosphate-isomerase deficiency,868,TPI+defic*%5Btw%5D+OR+triose+phosphate+isomerase/df%5BMH%5D+OR+Triose+phosphate+isomerase+defic*%5BTW%5D+OR+Triosephosphate+isomerase+defic*%5BTW%5D,144
Malignant peritoneal mesothelioma,168811,,0
Darier disease,218,%28%22keratosis+follicularis%22%5BTIAB%5D+NOT+Medline%5BSB%5D%29+OR+%22keratosis+follicularis%22%5BMeSH+Terms%5D+OR+%22Darier+disease%22%5BText+Word%5D,2013
"Heart-hand syndrome, Slovenian type",168796,,0
Coffin-Siris syndrome,1465,Coffin+Siris%5BTW%5D+OR+%28Coffin%5BTW%5D+AND+siris%5BTW%5D%29,225
Childhood disintegrative disorder,168782,,0
Distal monosomy 9p,1642,((chromosome+9%5Bmh%5D+(chromosome+deletion+OR+monosomy%5Bmh%5D))+OR+(del%5Bti%5D+OR+deletion*%5Bti%5D+OR+loss%5Bti%5D+OR+monosomy%5Bti%5D))+9p%5Bti%5D,256
Composite lymphoma,168966,,0
Refractory anemia with excess blasts in transformation,168960,,0
"47,XYY syndrome",8,47+XYY+syndrome+OR+(47+XYY%5Bti%5D),269
Distal monosomy 7q36,1636,((deletion%5Bti%5D+7q*%5Bti%5D)+OR+monosomy+7q*%5Bti%5D)+7q36*,24
Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,168953,,0
Monosomy 18q,1600,deletion+18q%5Bti%5D+OR+monosomy+18q%5Bti%5D+OR+deletion+18q-+syndrome%5Btw%5D,19
Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement,168950,,0
Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,168947,,0
Monosomy 18p,1598,(deletion%5Bti%5D+OR+monosomy+OR+loss%5Bti%5D)+18p%5Bti%5D+OR+18p-+syndrome%5Bti%5D+OR+(deletion%5Bti%5D+chromosome+18%5Bti%5D+%22short+arm%22),225
Chronic eosinophilic leukemia,168940,,0
Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,2773,osteogenesis+imperfecta%5Bmajr%5D+AND+eye+abnormalities%5Bmh%5D,15
Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,2772,osteogenesis+imperfecta+microcephaly+cataract,1
Isolated complex I deficiency,2609,NADH+CoQ+reductase+deficiency%5Btw%5D+OR+electron+transport+complex+i/df,370
Large congenital melanocytic nevus,626,"nevus,pigmented%5Bmajr:noexp%5D+AND+hairy%5Btw%5D+AND+giant%5Btw%5D",57
Refsum disease,773,%28%22refsum+disease%22%5Bmh%5D+OR+Refsum+disease%5BTi%5D%29+NOT+infantile%5Btw%5D,560
Pentasomy X,11,,0
T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,169154,,0
Immunodeficiency due to a late component of complement deficiency,169150,,0
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,169160,,0
T-B+ severe combined immunodeficiency due to CD45 deficiency,169157,,0
Transient hypogammaglobulinemia of infancy,169139,,0
"Progressive epilepsy-intellectual disability syndrome, Finnish type",1947,Neuronal+Ceroid-Lipofuscinosis/ge+AND+%28finnish%5Btw%5D+OR+northern%5Btw%5D%29,82
Immunodeficiency due to a classical component pathway complement deficiency,169147,,0
Recurrent infection due to specific granule deficiency,169142,,0
X-linked centronuclear myopathy,596,%28myopathies%2C+structural%2C+congenital%5Bmh%5D+OR+myopathy%5Bti%5D%29+%28myotubular%5Btw%5D+OR+centronuclear%5Btw%5D%29,602
Bethlem myopathy,610,Bethlem+myopathy%5BTw%5D,191
Autosomal recessive centronuclear myopathy,169186,,0
Incontinentia pigmenti,464,%28%22incontinentia+pigmenti%22%5BMeSH+Terms%5D+OR+Incontinentia+pigmenti%5BTI%5D%29+NOT+%28ito%5Btw%5D+OR+achromians%5Btw%5D+OR+achromiens%5Btw%5D%29,1001
Tetrasomy 18p,3307,"(chromosomes,+human,+pair+18%5Bmh%5D+OR+chromosome+18%5Btw%5D+OR+18p%5Btw%5D)+(isochromosomes+OR+Isochromosome+OR+tetrasomy)",167
Autosomal dominant centronuclear myopathy,169189,,0
Mirhosseini-Holmes-Walton syndrome,3084,(Mental+Retardation%5Bti%5D+(Retin*%5Bti%5D+OR+chorioretin*%5Btw%5D)+Microcephaly)+OR+(Mirhosseini+Holmes+Walton%5Btw%5D),23
Neonatal adrenoleukodystrophy,44,%28adrenoleukodystrophy%5Bmh%5D+OR+Adrenoleukodystrophy%5Bti%5D%29+AND+%28newborn%5Btw%5D+OR+infant%5Bmh%5D+OR+neonatal%5Btw%5D%29,313
Alkaptonuria,56,%22alkaptonuria%22%5BMH%5D+OR+Alkaptonuria%5BTi%5D,1116
Acromegaly,963,%22acromegaly%22%5BMeSH+Major+Topic%5D+AND+hasabstract%5Btext%5D+AND+%22humans%22%5BMeSH+Terms%5D,4099
Blue rubber bleb nevus,1059,"nevus,+blue%5Bmajr%5D+OR+%22blue+rubber%22",977
Alopecia antibody deficiency,1006,,0
Lethal hemolytic anemia-genital anomalies syndrome,1046,Hemolytic+anemia+lethal+%28genital+anomalies+OR+Genitalia%2C+Male/ab%29,1
Succinic semialdehyde dehydrogenase deficiency,22,,0
Mevalonic aciduria,29,%28mevalonic+aciduria%5Btw%5D+OR+mevalonate+kinase+deficien*%5Btw%5D%29+NOT+%28Hyperimmunoglobulinemia+D%5Btw%5D+OR+hyper+IgD%5Btw%5D%29,293
Nager syndrome,245,%28nager%5Btw%5D+OR+nager%27s%5Btw%5D%29+AND+%28Mandibulofacial+Dysostosis+OR+acrofacial%5Btw%5D%29,140
Hereditary orotic aciduria,30,hereditary+orotic+aciduria%5Btw%5D+OR+Orotate+Phosphoribosyltransferase/df+OR+Orotidine-5%27-Phosphate+Decarboxylase/df,104
Acrocallosal syndrome,36,Acrocallosal+syndrome%5Btw%5D,154
Aarskog-Scott syndrome,915,FGD1+protein%2C+human%5BSubstance+Name%5D+OR+faciogenital+AND+dysplasia+OR+Aarskog%5Btw%5D,181
Nail-patella syndrome,2614,%28%22nail-patella+syndrome%22%5BTw%5D+NOT+Medline%5BSB%5D%29+OR+%22nail-patella+syndrome%22%5BMeSH+Terms%5D,553
Isovaleric acidemia,33,isovaleric+acidemia%5Btw%5D,221
Smith-Magenis syndrome,819,Smith-Magenis%5Btw%5D+AND+%28%22syndrome%22%5BMeSH+Terms%5D+OR+syndrome%5BText+Word%5D%29,518
Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,3085,retinitis+pigmentosa+%28hearing+loss%5Bmh%5D+OR+deafness%5Btw%5D%29+mental+retardation+%28hypogenitali*%5Btw%5D+OR+hypogonadism%29,7
Tetrasomy X,9,,0
Hereditary persistence of alpha-fetoprotein,168615,,0
Congenital deficiency in alpha-fetoprotein,168612,,0
Ring chromosome 18 syndrome,1442,(Chromosome+18%5Bmh%5D+ring+chromosomes%5Bmh%5D)+OR+ring+chromosome+18%5Btw%5D,110
"Dysplasia of head of femur, Meyer type",168621,,0
Cleidocranial dysplasia,1452,cleidocranial+dysplasia%5Bmh%5D+OR+cleidocranial+dysplasia%5Bti%5D,1026
Autosomal dominant coarctation of aorta,1455,,0
Autosomal thrombocytopenia with normal platelets,168629,,0
"Familial scaphocephaly syndrome, McGillivray type",168624,,0
Cohen syndrome,193,"%22cohen+syndrome%22%5Btw%5D+AND+%28abnormalities,+multiple%5Bmh%5D+OR+mental+retardation%5Bmh%5D%29",163
Cooper-Jabs syndrome,1488,Aural+atresia+mental+retardation+cooper,1
Isolated corpus callosum agenesis,200,,0
Generalized basaloid follicular hamartoma syndrome,168632,,0
Chronic mucocutaneous candidiasis,1334,%28chronic%5Ball%5D+AND+mucocutaneous+candidiasis%5Bti%5D%29+OR+candidiasis%2C+chronic+mucocutaneous%5Bmh%5D,707
Hereditary North American Indian childhood cirrhosis,168583,,0
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,1369,,0
Hereditary cryohydrocytosis with reduced stomatin,168577,,0
Sudden infant death-dysgenesis of the testes syndrome,168593,,0
Charlie M syndrome,1406,,0
Hyperandrogenism due to cortisone reductase deficiency,168588,,0
Congenital enteropathy due to enteropeptidase deficiency,168601,,0
Cholestasis-lymphedema syndrome,1414,%28lymphedema+%28cholestasis+OR+jaundice%5Bti%5D%29%29+OR+Aagenaes%5Btw%5D,35
Brain demyelination due to methionine adenosyltransferase deficiency,168598,,0
Mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure,168609,,0
Seborrhea-like dermatitis with psoriasiform elements,168606,,0
Axial spondylometaphyseal dysplasia,168549,,0
Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,168552,,0
Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,1154,arthrogryposis%5Bti%5D+AND+%28type+v%5Btw%5D+OR+type+5%5Btw%5D+OR+ophthalmo*%5Btw%5D%29,29
"Spondylometaphyseal dysplasia, A4 type",168555,,0
"46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency",168558,,0
"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",168563,,0
Blackfan-Diamond anemia,124,diamond+blackfan+anemia%5Btw%5D+OR+anemia%2C+diamond+blackfan%5Bmh%5D+OR+diamond+blackfan+anaemia%5Btw%5D,859
Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,168566,,0
Caffey disease,1310,Caffey+dis*%5Bti%5D+OR+Caffey%27s%5Bti%5D+OR+infantile+cortical+hyperostosis%5Btw%5D+OR+Hyperostosis%2C+Cortical%2C+Congenital%5Bmh%5D,670
H syndrome,168569,,0
Native American myopathy,168572,,0
Bloom syndrome,125,%22bloom+syndrome%22%5BMH%5D+OR+Bloom%27s+syndrome%5Bti%5D+OR+Bloom+syndrome%5BTi%5D,895
Argininemia,90,arginase/df+OR+argininemia%5Bti%5D+OR+hyperargininemia%5Bmh%5D+OR+hyperargininemia%5Bti%5D,765
Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome,168443,,0
Aniridia-cerebellar ataxia-intellectual disability syndrome,1065,,0
"Spondyloepimetaphyseal dysplasia, Bieganski type",168448,,0
Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome,168451,,0
Arrhinia-choanal atresia-microphthalmia syndrome,1135,,0
"Spondyloepimetaphyseal dysplasia, Geneviève type",168454,,0
Distal arthrogryposis type 1,1146,arthrogryposis%5Bti%5D+AND+distal%5Btw%5D+AND+%28type+i%5Btw%5D+OR+type+1%5Btw%5D+OR+digitotal*%5Btw%5D+OR+digito+tal*%5Btw%5D%29,27
Neurogenic arthrogryposis multiplex congenita,1143,%28arthrogryposis%5Bmh%5D+OR+arthrogryposis%5Bti%5D%29+AND+neurogenic%5Btw%5D+AND+Neuromuscular+Diseases%5Bmh%5D,22
Congenital neuronal ceroid lipofuscinosis,168486,,0
Late infantile neuronal ceroid lipofuscinosis,168491,,0
"Spondylometaphyseal dysplasia, Golden type",168544,,0
Sheldon-Hall syndrome,1147,arthrogryposis%5Bti%5D+%28type+ii%5Btw%5D+OR+type+2%5Btw%5D+OR+type+iib%5Btw%5D+OR+type+2b%5Btw%5D+OR+%28freeman+sheldon%5Btw%5D+variant%5Btw%5D%29%29,45
Postaxial acrofacial dysostosis,246,Postaxial+acrofacial+dysostosis%5Btw%5D+OR+Genee+Wiedemann%5Btw%5D+OR+Miller+syndrome%5Btw%5D,75
XY type gonadal dysgenesis-associated anomalies syndrome,1770,46+XY+gonadal+dysgenesis+ectodermal+mesodermal,1
Dyskeratosis congenita,1775,%22dyskeratosis+congenita%22%5BMeSH+Terms%5D+OR+Dyskeratosis+congenita%5BTi%5D,853
Familial dysautonomia,1764,dysautonomia%2Cfamilial%5Bmh%5D+OR+Familial+dysautonomia%5BTi%5D+OR+Riley+day%5Bti%5D,1259
Dubowitz syndrome,235,Dubowitz+syndrome%5Btw%5D,109
Dyggve-Melchior-Clausen disease,239,Dyggve+Melchior+Clausen%5Btw%5D,78
Diencephalic syndrome,1672,diencephalic+syndrome%5Bti%5D,178
Encephalopathy due to sulfite oxidase deficiency,833,sulfite+oxidases/df%5Bmh%5D+OR+%28Sulfite+oxidase%5Btw%5D+AND+%28deficiency%5Bsh%5D+OR+deficien*%5Btw%5D%29%29,468
Scleromyxedema,167635,Scleromyxoedema[ti]+OR+scleromyxedema[mh]+OR+scleromyxedema[ti],488
Pyruvate dehydrogenase deficiency,765,Pyruvate+dehydrogenase+deficiency%5Bti%5D+OR+Pyruvate+Dehydrogenase+Complex+Deficiency+Disease%5Bmh%5D,408
Homocystinuria due to methylene tetrahydrofolate reductase deficiency,395,methylenetetrahydrofolate+reductase/df+OR+Methylenetetrahydrofolate+reductase%5Btw%5D+%28df%5Bsh%5D+OR+deficien*%5Btw%5D%29,1056
Isolated glycerol kinase deficiency,408,Hyperglycerolemia%5Ball%5D+OR+glycerol+kinase/df+OR+glycerol+kinase+deficiency%5Btw%5D,196
Carbamoyl-phosphate synthetase 1 deficiency,147,Carbamoyl+Phosphate+Synthase%5Btw%5D+deficiency,326
Argininosuccinic aciduria,23,Argininosuccinate+Lyase+deficiency,365
Adenosine monophosphate deaminase deficiency,45,amp+deaminase/df%5Bmh%5D+OR+%28Myoadenylate+deaminase%5Btw%5D+AND+%28deficiency%5Bsh%5D+OR+deficiency%5Btw%5D%29%29,199
Dihydropteridine reductase deficiency,226,dihydropteridine+reductase/df%5Bmajr%5D,52
Isolated Dandy-Walker malformation,217,Dandy+walker+malformation%5Bti%5D+OR+Dandy+walker+syndrome%5Bti%5D+OR+Dandy+walker+syndrome%5Bmh%5D,1135
Dandy-Walker malformation-facial hemangioma syndrome,1564,,0
Cutis marmorata telangiectatica congenita,1556,,0
Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,1538,,0
Corpus callosum agenesis-neuronopathy syndrome,1496,,0
Neonatal severe primary hyperparathyroidism,417,%28hyperparathyroidism%5Bmh%5D+OR+Hyperparathyroidism%5Bti%5D%29+AND+%28infant%2Cnewborn%5Bmh%5D+OR+neonatal%5Btw%5D%29+AND+severe%5Btw%5D,174
Hypogonadism-mitral valve prolapse-intellectual disability syndrome,2233,,0
Hypoplastic left heart syndrome,2248,hypoplastic+left+heart+syndrome%5Bmh%5D+OR+hypoplastic+left+heart+syndrome%5BTi%5D,2855
Neonatal hemochromatosis,446,"hemochromatosis%5Bmajr%5D+AND+infant,newborn%5Bmh%5D+NOT+%28adult%5Bmh%5D+OR+adolescence%5Bmh%5D%29",173
Hennekam-Beemer syndrome,2135,mastocytosis+Skin+hearing+loss+microcephaly,2
Congenital diaphragmatic hernia,2140,%28hernia%2C+diaphragmatic%5Bmh%5D+OR+Diaphragmatic+hernia%5Bti%5D%29+%28congenital%5Bsh%5D+OR+congenital%5Btw%5D%29,6281
Congenital hydrocephalus,2185,,0
Congenital hypothalamic hamartoma syndrome,2113,Congenital+hypothalamic+hamartoma+syndrome[ti],2
Hartnup disease,2116,%22hartnup+disease%22%5BTi%5D+OR+Hartnup+disorder%5Bti%5D+OR+Hartnup+syndrome%5BTi%5D+OR+%22hartnup+disease%22%5BMH%5D,262
Hawkinsinuria,2118,,0
Galactosialidosis,351,Galactosialidos*%5Bti%5D+OR+%28beta-galactosidase/df+AND+neuraminidase/df%29+OR+Carboxypeptidase+C/df,144
Goldenhar syndrome,374,%22goldenhar+syndrome%22%5BMeSH+Terms%5D+OR+Goldenhar+syndrome%5BText+Word%5D+OR+Oculoauriculovertebral%5Btiab%5D,1054
Congenital fiber-type disproportion myopathy,2020,,0
Freeman-Sheldon syndrome,2053,Freeman+Sheldon%5Btw%5D,181
Frontal encephalocele,1931,,0
Fetal parvovirus syndrome,295,"parvovirus+b19,+human%5Bmajr%5D+AND+parvoviridae+infections%5Bmajr%5D+AND+neonatal+diseases+and+abnormalities%5Bmh%5D&amp;",335
"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",1933,mitochondrial+encephalomyopathy+aminoacidopathy+deafness,2
Ebstein malformation of the tricuspid valve,1880,ebstein%27s+anomaly%5Bti%5D+OR+Ebstein+anomaly%5Bti%5D+OR+ebstein%27s+anomaly%5Bmh%5D,2106
Fetal alcohol syndrome,1915,fetal+alcohol+syndrome%5Bmajr%5D+OR+fetal+alcohol+syndrome%5Bti%5D,3464
Isolated ectopia lentis,1885,,0
Multicystic dysplastic kidney,1851,"(kidney+dysplasia%5Bti%5D+OR+renal+dysplasia%5Bti%5D)+(cystic+kidney%5Btw%5D+OR+Kidney+Diseases,+Cystic%5Bmh%5D)",167
Omphalocele,660,omphalocele%5Bti%5D+OR+omphalocoele%5Bti%5D+OR+exomphalos%5Bti%5D+OR+umbilical+hernia%5Bti%5D+OR+hernia%2C+umbilical%5Bmajr%5D,3173
Neuroblastoma,635,neuroblastoma%5Bmajr%5D,18925
Linear nevus sebaceus syndrome,2612,%28Nevus+sebaceus%5Bti%5D+OR+sebaceous+nevus%5Bti%5D%29+syndrome+OR+Schimmelpenning%5Btw%5D+OR+sebaceous+nevus+jadassohn,509
Metatropic dysplasia,2635,Metatropic%5Btw%5D+AND+%28dwarfism%5Bmh%5D+OR+dwarfism%5Btw%5D+OR+dysplasia%5Ball%5D%29,98
Thanatophoric dysplasia,2655,%28%28%22thanatophoric+dysplasia%22%5BTw%5D+OR+Thanatophoric+dwarfism%5BTW%5D%29+NOT+Medline%5BSB%5D%29+OR+%22thanatophoric+dysplasia%22%5BMH%5D,367
Proximal myotonic myopathy,606,Proximal+myotonic+myopathy%5BTW%5D+OR+promm%5Btw%5D+OR+Myotonic+dystrophy+type+2%5Btw%5D,357
Pendred syndrome,705,Pendred+syndrome%5Btw%5D+OR+Pendred%27s+syndrome%5Btw%5D,491
Juvenile Paget disease,2801,%28osteitis+deformans%5Bmh%5D+juvenile%5Btw%5D%29+OR+Chronic+idiopathic+hyperphosphatasia%5Btw%5D+OR+%28juvenile%5Bti%5D+paget*%5Bti%5D%29,75
Tetrasomy 12p,884,"tetrasomy+12p%5Btw%5D+OR+Pallister+Killian%5Btw%5D+OR+((chromosomes,+human,+pair+12%5Bmh%5D+OR+%22chromosome+12%22+OR+%2212p%22)+tetrasomy)",277
Osteopetrosis with renal tubular acidosis,2785,(carbonic+anhydrase+ii%5Ball%5D+defic*)+OR+(osteopetrosis+(renal+tubular+acidosis)),286
Horizontal gaze palsy with progressive scoliosis,2744,,0
Opsismodysplasia,2746,Opsismodysplasia%5Btw%5D,24
Peroxisomal acyl-CoA oxidase deficiency,2971,,0
Prune belly syndrome,2970,prune+belly+syndrome%5Bmh%5D+OR+prune+belly+syndrome%5BTi%5D,672
Proteus syndrome,744,Proteus+Syndrome%5BTW%5D+OR+%22proteus+syndrome%22%5BMeSH+Terms%5D,593
Familial spontaneous pneumothorax,2903,,0
Neuralgic amyotrophy,2901,brachial+plexus+neuritis[mh]+%28heredit*+OR+familial[tw]+OR+congenital%29+OR+Parsonage+Turner+synd*[tw]+OR+hereditary+neuralgic+amyotrophy%5Btw%5D,342
Isolated Pierre Robin syndrome,718,%22pierre+robin+syndrome%22%5BMH%5D+OR+Pierre+Robin+syndrome%5BTi%5D,1453
Congenital rubella syndrome,290,%22rubella+syndrome%2C+congenital%22%5BMeSH+Terms%5D+OR+Congenital+rubella+syndrome%5BTi%5D,962
Costello syndrome,3071,Costello+syndrome%5Btw%5D+OR+%28Mental+retardation+AND+papillomat*%5Btw%5D%29,468
Pycnodysostosis,763,Pycnodysostosis%5Btw%5D,319
Disorder of sex development-intellectual disability syndrome,2983,pseudohermaphroditism+mental+retardation+verloes,6
Pseudo-Zellweger syndrome,2981,Pseudo+Zellwege*%5Btw%5D,21
Congenital short bowel syndrome,2301,short+bowel%5Btw%5D+(neonatal+OR+infants),1173
Hereditary fructose intolerance,469,%22fructose+intolerance%22%5BMeSH+Terms%5D+OR+fructose+intolerance%5BText+Word%5D,589
Jacobsen syndrome,2308,%28Jacobsen%5Btw%5D+or+11q+deletion%5Btw%5D+or+11q+monosomy%5Btw%5D%29+AND+Chromosome+Deletion%5Ball%5D,229
Joubert syndrome with oculorenal defect,2318,,0
Foveal hypoplasia-presenile cataract syndrome,2253,Foveal+hypoplasia%5Btw%5D+AND+%28cataract%5Bmh%5D+OR+cataract*%5Bti%5D%29,11
Isolated congenital breast hypoplasia/aplasia,180188,,0
Supernumerary breasts,180182,,0
Multiple intestinal atresia,2300,multiple%5Bti%5D+intestinal+atresia,115
Embryonal carcinoma,180226,,0
Trichorhinophalangeal syndrome type 2,502,Langer+Giedion%5Btw%5D+OR+%28trichorhinophalangeal+syndrome%5Btw%5D+AND+type+II%5Btw%5D%29,241
